Supplier_ID,Predicted_Emissions,Uncertainty,Risk_Score
SUP1152,93757.35,11880.544852613793,1113888420.5005612
SUP1180,127685.32,9861.125503651589,1259120968.575516
SUP1151,140006.44,10802.215078898495,1512379650.3053596
SUP1108,56985.492,4789.924096271754,272956182.16681206
SUP1015,44585.684,7340.14481838788,327265374.40494555
SUP1074,62896.92,5097.532495731973,320619103.13932765
SUP1165,187930.83,14375.250368783798,2701552706.309751
SUP1178,188967.73,14778.716708113267,2792700613.302122
SUP1065,168371.9,12964.577817158504,2182870680.801441
SUP1097,350655.0,34170.860560782094,11982183109.941046
SUP1032,82272.305,7468.030155068409,614412052.333226
SUP1042,33086.227,8953.58805699593,296240443.0010615
SUP1023,31191.002,5935.352105095562,185129579.10252026
SUP1083,20326.299,11233.065222465799,228326640.46765825
SUP1040,71751.46,7966.895322817111,571636378.5482634
SUP1193,-6872.2007,14869.981526124377,-102189497.20885837
SUP1086,79724.016,7361.284592199349,586871167.8485727
SUP1090,28381.393,9364.937004406594,265789953.5914735
SUP1161,136399.62,7497.118493009485,1022604151.0270588
SUP1106,87219.17,12629.332973118499,1101519963.249027
SUP1056,96784.52,7981.783036770233,772513067.3953285
SUP1138,24810.76,13875.084433054293,344251386.59627324
SUP1013,47221.402,11251.899975768076,531330495.8873752
SUP1170,15753.815,10293.330327100135,162159226.1299404
SUP1059,53274.61,8701.724275824126,463580961.6834851
SUP1153,129660.02,9813.802325683333,1272457839.559093
SUP1067,171510.19,14584.692366680441,2501423322.4391813
SUP1050,172719.33,15379.630221022573,2656359398.585964
SUP1068,50647.11,6581.501717189112,333334037.3222273
SUP1127,253429.88,20438.843399690446,5179813527.928124
SUP1192,313474.78,22619.52241935915,7090649842.38808
SUP1123,45002.996,8915.68512333309,401232542.7784641
SUP1150,20965.658,9920.034004905656,207980042.3102292
SUP1017,112469.35,12696.852466640543,1428006763.8077905
SUP1084,173251.88,11734.149954626188,2032963481.170152
SUP1011,225140.1,18776.31165514019,4227300566.31748
SUP1112,57749.29,6062.7281463762,350118240.232434
SUP1125,56020.676,6796.3303168828015,380735017.1843715
SUP1143,41891.316,9245.889778212913,387322494.15642977
SUP1177,71424.76,11250.12776542386,803537651.005081
SUP1144,9645.526,10038.881068830686,96830292.04646581
SUP1021,44519.9,8769.841388497844,390432447.928908
SUP1054,11042.597,9850.998095801053,108780598.8643006
SUP1095,105320.02,7769.435531558445,818277132.2798808
SUP1038,46145.7,7849.636939362462,362226985.1802095
SUP1003,53943.902,8769.10669547165,473039835.2224469
SUP1146,163140.39,10941.253870130467,1784960430.3003774
SUP1004,61516.234,7052.841418578611,433864245.71498936
SUP1022,42813.668,10542.407895374787,451359151.2237046
SUP1103,55133.39,11019.790891391147,607558435.8208851
SUP1181,19742.65,12071.893099073766,238331165.00801194
SUP1190,55715.484,8727.450575888894,486254136.1945224
SUP1145,204968.08,13896.683605081205,2848376530.8446913
SUP1107,129974.12,10163.993383823745,1321056067.162082
SUP1048,19588.096,12176.032537734376,238505290.63350493
SUP1185,90704.02,6908.016848074003,626584922.0943493
SUP1186,16053.089,10791.763052583614,173241131.3167554
SUP1071,72167.93,6350.296517440817,458287752.565445
SUP1115,91695.625,10383.768113617278,952146107.0332073
SUP1012,16299.909,11988.857301780718,195417285.18725902
SUP1113,142121.78,16947.65325704169,2408630668.898129
SUP1174,73496.64,5581.729038314443,410238333.19512343
SUP1031,207730.4,15123.818253439902,3141676909.8382363
SUP1160,121421.79,10193.463693314738,1237708598.3859143
SUP1092,129560.95,12738.63763066584,1650430032.943058
SUP1156,26740.97,10120.352273949295,270628043.6629826
SUP1037,182015.62,14468.62807446743,2633516381.866736
SUP1072,28264.12,9720.644855848303,274745464.32939994
SUP1076,26812.12,9753.94979264073,261524063.93195775
SUP1047,56008.344,7577.294091924993,424391692.19537914
SUP1044,99483.0,8627.122249764632,858252002.7733349
SUP1024,33285.78,10662.435285800915,354907488.5154505
SUP1116,65253.0,8700.328875252128,567722560.096827
SUP1079,180155.88,16714.976377117582,3011301194.823948
SUP1051,19230.291,10479.530560599047,201524422.38745546
SUP1133,237786.56,16142.757759982318,3838530877.0163956
SUP1036,45460.152,11027.625322880462,501317527.1679411
SUP1078,139815.56,7987.924405173424,1116836143.9168003
SUP1139,55861.203,7007.789422799058,391463548.4042047
SUP1157,49268.26,8561.194304367247,421795161.6126374
SUP1158,206943.75,21342.77620491782,4416754143.256462
SUP1082,56558.734,9315.759601181751,526887572.7845946
SUP1191,37781.11,9872.606444321656,372998023.88924634
SUP1005,12283.3,8976.89176272608,110265852.83579409
SUP1162,27477.424,8601.563994240594,236348819.45448855
SUP1197,127888.56,11207.17374551458,1433269340.0016005
SUP1141,10831.948,11844.567262033652,128299739.53345703
SUP1182,106216.016,9396.867187737827,998097792.0388108
SUP1081,56356.03,6651.971453433049,374878711.1037808
SUP1130,77605.77,6282.872230040824,487587158.8213086
SUP1175,33615.445,8809.874989289732,296147870.9124305
SUP1045,140123.53,17732.28017365945,2484709715.047525
SUP1014,55096.44,7824.953891924273,431127113.6130136
SUP1163,185405.12,15429.545758458744,2860716860.040263
SUP1057,111308.12,6160.127450420232,685672188.1413108
SUP1096,38404.59,8070.021905986495,309925881.32948893
SUP1110,61261.992,5790.124342399373,354714552.22872394
SUP1039,14676.745,11804.354719614776,173249505.49265537
SUP1041,90127.76,7912.1489349831,713104242.9885867
SUP1061,143286.08,9947.453368056547,1425331580.4401448
SUP1128,85228.336,6741.886179809762,574599740.185215
SUP1033,186242.19,14801.13947044901,2756596592.469015
SUP1166,71913.83,7169.056549406682,515554300.5124377
SUP1087,37130.234,10236.992391141464,380101926.7781742
SUP1196,94885.914,10798.826658602824,1024656538.3040216
SUP1109,50964.184,8958.623657909267,456568940.8490001
SUP1104,12730.315,10086.839718987094,128408651.31140612
SUP1179,31299.521,10603.874344245423,331896192.8553225
SUP1028,11879.925,12922.198475166668,153514746.1962275
SUP1195,88174.07,11162.172220450331,984214158.2062217
SUP1102,81328.4,8372.492329275627,680921392.0702406
SUP1088,117523.83,12322.287494193182,1448162397.5743964
SUP1049,17413.322,11357.500771049094,197771821.05836228
SUP1159,47956.023,7147.7407016225025,342777220.6121814
SUP1131,164653.44,13416.841308755462,2209129041.878586
SUP1069,52726.2,9144.75793535977,482168328.70702416
SUP1100,49458.676,8157.620714767758,403465118.0781074
SUP1137,272659.4,28418.04554760988,7748447425.796766
SUP1089,149449.97,12944.391825160119,1934538953.7579353
SUP1167,279666.84,21541.956588743687,6024571007.373464
SUP1098,95958.414,10180.95613241291,976948404.1062266
SUP1105,150619.52,11425.03861755852,1720833782.573584
SUP1010,120903.445,10975.99492818565,1327035602.5501711
SUP1176,27298.62,11573.628991661873,315944089.9182732
SUP1058,66591.29,7922.570564162628,527574186.5562073
SUP1120,41762.746,8364.703206723914,349332976.17198724
SUP1198,112143.97,12817.340975874682,1437387485.8565848
SUP1002,36794.484,8439.394130066046,310523155.45318186
SUP1019,76014.56,7322.8322159767185,556641887.1583757
SUP1194,138098.1,11893.937945156875,1642530157.4069564
SUP1126,52931.844,6493.888570136456,343733495.1243738
SUP1085,69805.71,7533.561217113627,525885596.65179455
SUP1016,134351.53,7717.662327680556,1036879751.3943219
SUP1001,61279.68,5721.2295218852805,350595112.51979876
SUP1020,95848.195,6773.582362551856,649235645.2511755
SUP1094,297740.72,26039.106087607906,7752902162.131879
SUP1124,118048.63,10523.8323780193,1242324024.173099
SUP1000,77575.85,10434.865124616257,809493547.9819388
SUP1189,22502.791,10787.632483360623,242751839.32643184
SUP1147,44904.395,9009.272167779065,404555911.8613611
SUP1111,141615.61,9327.52271903284,1320922813.8149927
SUP1132,40219.133,8516.236367648035,342515641.53307885
SUP1183,147063.28,10743.079459425559,1579912516.032599
SUP1027,28911.135,9921.472420291835,286841026.2164889
SUP1043,28602.799,9251.18346801133,264609739.65760383
SUP1066,28879.463,11806.851872960639,340975540.52027303
SUP1035,31636.143,9780.676330517896,309422870.9027566
SUP1091,63606.137,8516.800722010075,541720791.1305215
SUP1187,158680.97,10968.607850763805,1740509319.598056
SUP1134,127352.52,7467.376329892873,950989219.0693148
SUP1070,16659.26,9452.355724499157,157469249.41152397
SUP1064,11615.8,10800.15380900299,125452424.50521189
SUP1155,2716.8618,13711.60634499782,37252539.720318235
SUP1053,17319.502,11077.194447679769,191851490.87173516
SUP1169,300613.6,21086.72220731403,6338955343.1486025
SUP1173,124806.484,12566.704550734146,1568406215.1564426
SUP1149,51550.555,7537.8867868275665,388582245.0325381
SUP1025,53294.516,7411.995616932421,395018716.21903646
SUP1140,41529.074,10888.968503198408,452208781.1349578
SUP1122,64445.38,9115.437890952979,587447848.778853
SUP1136,63614.668,9970.036719031898,634240575.5174598
SUP1093,32354.268,9947.131043715626,321832139.42304915
SUP1118,51016.39,8313.192106447095,424109055.8431716
SUP1168,80390.7,7140.630639603978,574040317.8736823
SUP1077,205560.11,14357.361941393481,2951300891.0093064
SUP1142,9581.784,12413.968695605554,118947968.85468917
SUP1060,63322.2,7310.789215068033,462935251.12282693
SUP1121,76149.08,6080.899324478394,463054877.729965
SUP1055,146141.17,13472.88789103942,1968943624.9369981
SUP1114,151649.27,9526.29532242028,1444655689.771908
SUP1073,31135.807,9983.036369407946,310829890.08421284
SUP1046,146247.83,15005.385278792712,2194505007.2022815
SUP1034,293486.0,22661.713643230305,6650895690.29709
SUP1062,111905.18,6767.701377157168,757340838.6821141
SUP1063,62550.074,7292.930037751357,456173315.1334986
SUP1099,54741.777,9322.494574020628,510329922.2593547
SUP1129,80447.38,7530.675783378433,605823157.5822681
SUP1171,35415.016,8061.12414829065,285484837.6667782
SUP1008,9229.573,11749.580228768833,108443611.28638011
SUP1018,89949.44,10546.346905291963,948637971.8108778
SUP1052,21080.791,9769.279125352767,205944131.61486948
SUP1026,45843.707,9392.804295155813,430600968.3089897
SUP1007,43855.96,8345.07239259388,365981168.8702069
SUP1188,99292.13,12193.861317915696,1210754497.4756916
SUP1075,209069.83,18598.094971153085,3888300519.071402
SUP1148,38350.17,7780.184646856596,298371418.4261866
SUP1101,38791.184,7812.810523115834,303068167.3853683
SUP1006,129177.945,10563.73521377608,1364601609.7408972
SUP1029,200846.36,16031.584538906998,3219885389.6520085
SUP1184,91436.47,7514.049123870728,687058117.9007707
SUP1164,41078.14,8593.416414904048,353001567.94061184
SUP1154,62354.906,5672.056706907285,353680564.20388746
SUP1199,17505.799,10881.159307066744,190483385.84629044
SUP1080,9035.823,9872.325414202347,89204587.4320879
SUP1135,70607.336,6901.311698839626,487283233.5293683
SUP1119,63505.42,9235.015633188212,586473563.8078376
SUP1172,57601.477,7230.932499308312,416512388.8839273
SUP1030,47092.41,7555.112786079512,355788470.09878504
SUP1009,87327.89,8038.898107038422,702020014.6369709
SUP1117,209002.3,17602.352493601655,3678932101.5661297
