Supplier_ID,Predicted_Emissions,Uncertainty,Risk_Score
SUP1152,95278.46,8461.816892401792,806228890.2429818
SUP1180,124264.97,8851.261549370294,1099901739.8305762
SUP1151,145160.27,9914.322784644264,1439165728.9109511
SUP1108,49643.89,8799.923655411905,436862447.45761883
SUP1015,41296.383,7741.073283680728,319678325.70249575
SUP1074,59436.875,7340.842231908452,436316722.13266367
SUP1165,188927.2,15524.279291085328,2932958666.9961085
SUP1178,168324.97,12556.273171530072,2113534289.2142627
SUP1065,150810.67,12421.149301919335,1873241871.682142
SUP1097,343164.03,32220.706533266788,11056987543.679043
SUP1032,77267.586,4639.7436078708815,358501787.94912964
SUP1042,41117.54,9381.378413447897,385739193.3750382
SUP1023,34126.887,11658.90729460084,397882208.5072509
SUP1083,22594.666,10420.89506003231,235456643.46530646
SUP1040,70330.945,8197.45472682185,576534740.0938022
SUP1193,-8791.458,15897.668525278435,-139763685.26210785
SUP1086,84540.19,9226.892142147608,780043191.7394354
SUP1090,29341.604,8607.228184971815,252549876.77195558
SUP1161,147543.14,11468.442285658697,1692089992.9026375
SUP1106,79642.57,9544.865104467208,760177590.2058573
SUP1056,106675.42,9801.083705426594,1045534739.1085701
SUP1138,36014.246,8721.068324526295,314082700.839898
SUP1013,46433.285,9085.088932191002,421850525.0583156
SUP1170,24317.08,10893.778132954587,264904875.21238375
SUP1059,51791.895,8292.320171545252,429474971.7440286
SUP1153,118801.65,9916.90826174191,1178145048.8984015
SUP1067,165764.02,14002.152488265403,2321053023.848459
SUP1050,164158.92,12195.13111523029,2001939576.0004706
SUP1068,46637.547,7296.881665347359,340308660.7089655
SUP1127,254766.39,23138.283372493235,5894856940.068554
SUP1192,306278.0,27653.47615207882,8469651368.906397
SUP1123,41888.395,8550.177350159469,358153202.1556375
SUP1150,14692.511,10916.605808074479,160392348.10336074
SUP1017,108166.17,8250.96056741491,892474818.8688487
SUP1084,169869.3,12229.411054477463,2077401457.019439
SUP1011,217580.89,14108.665197607035,3069775939.2252803
SUP1112,58108.47,8803.70150315862,511569613.6806207
SUP1125,63606.24,5895.980932442047,375021168.0906154
SUP1143,37014.31,8142.264426105502,301380288.1197818
SUP1177,67267.07,9522.615548449894,640558449.6564847
SUP1144,17533.682,8860.654837725491,155359901.05214253
SUP1021,48016.855,10813.870372948704,519248050.7556756
SUP1054,10444.065,11764.33832474856,122867519.2006542
SUP1095,107822.82,10111.35242776113,1090234535.934849
SUP1038,46359.31,7480.207935728192,346777268.0378409
SUP1003,62749.29,5428.3777845776485,340626846.7449162
SUP1146,165487.22,12970.504685021651,2146452746.1080778
SUP1004,64985.96,7536.689254400796,489778993.48456615
SUP1022,40971.25,9609.477943612397,393712323.19722944
SUP1103,54123.07,8915.695446888494,482544811.55678207
SUP1181,25949.37,9624.295113270264,249744386.61256337
SUP1190,58712.395,6370.855878026285,374048203.8124124
SUP1145,207903.42,13644.124704512253,2836660214.5573206
SUP1107,116790.5,10113.529550889494,1181164173.0131595
SUP1048,27548.049,9182.413677223787,252957580.34020373
SUP1185,96479.98,6366.6639410017315,614255587.809161
SUP1186,19082.994,10588.163039983468,202053853.2519867
SUP1071,78386.22,5437.845058413236,426252112.2773864
SUP1115,86088.12,11845.58355871001,1019763985.5565506
SUP1012,22548.018,14212.837901057277,320471318.8280807
SUP1113,149165.12,13737.167468176136,2049106302.5364268
SUP1174,79445.0,4958.0538063336535,393892584.6441771
SUP1031,201770.55,19877.542515924917,4010702623.969234
SUP1160,135848.81,9798.299786652864,1331087390.535795
SUP1092,133470.11,11591.021888392837,1547054959.211811
SUP1156,23342.174,12933.306620780508,301891491.3146986
SUP1037,182080.7,15640.767996131583,2847882034.1506357
SUP1072,39714.06,10187.029824175124,404568299.33356965
SUP1076,31877.408,7725.337317591977,246263731.17971417
SUP1047,64919.996,7084.332850805209,459914861.001099
SUP1044,101747.055,9397.954602240297,956214200.8647858
SUP1024,32597.658,9013.78929679882,293828422.6120344
SUP1116,68174.234,5217.733666007389,355714997.8527157
SUP1079,194226.83,14196.89144914447,2757417195.402265
SUP1051,26041.924,9729.746790528789,253381324.7858944
SUP1133,245923.2,18994.7133520651,4671240749.981055
SUP1036,44460.0,8708.484484020653,387179220.15955824
SUP1078,147064.42,10725.497297512202,1577339059.3805068
SUP1139,57994.938,8438.236744799178,489375012.6248318
SUP1157,51423.414,8311.866676639496,427424561.74512863
SUP1158,210261.88,15657.26274354247,3292125421.824884
SUP1082,53134.457,7004.139472433173,372161147.8388825
SUP1191,39562.18,8933.282197048697,353420115.47878534
SUP1005,14839.276,12128.348035327008,179975908.37365302
SUP1162,27826.088,9767.815474608935,271800091.89587516
SUP1197,157529.55,10906.446282496021,1718087540.8981264
SUP1141,22466.768,11209.127191609206,251832855.36752504
SUP1182,102396.1,10117.369913499482,1035979237.2080748
SUP1081,72772.61,7075.229769063012,514882932.22239405
SUP1130,74611.24,5312.456875078569,396369006.5171366
SUP1175,39888.24,11553.64029427786,460854357.0740067
SUP1045,124067.62,14210.636689632973,1763079832.800026
SUP1014,52969.16,8176.169849703881,433084850.2336673
SUP1163,174529.17,13036.133820843199,2275185640.203443
SUP1057,110797.44,8228.779261569429,911727655.935035
SUP1096,32122.08,10322.673312741155,331585738.7721953
SUP1110,62314.875,6884.333464917357,428996379.32464194
SUP1039,4003.6665,13668.447001042186,54723903.41849044
SUP1041,91485.01,10290.209172183235,941399866.5094424
SUP1061,131916.88,12893.38313791292,1700854811.7311666
SUP1128,82814.19,7936.856644248086,657284334.2973818
SUP1033,192904.2,11692.337261119816,2255501002.025063
SUP1166,75378.89,5996.138919902155,451982299.8156102
SUP1087,42539.984,10021.37117180515,426308973.06466657
SUP1196,72302.34,6362.305106498159,460009570.85241026
SUP1109,59105.715,8267.452447171518,488653686.8267828
SUP1104,20209.22,9694.49184882687,195918125.37758854
SUP1179,37529.42,9003.843124698695,337909027.12313557
SUP1028,18650.268,11772.768081266126,219565274.85082248
SUP1195,97129.88,11032.999306998681,1071633929.7591757
SUP1102,70207.016,7632.171818324968,535832006.10182565
SUP1088,106927.54,10747.773235948878,1149232942.5218158
SUP1049,24863.924,9496.352997035017,236116597.56326523
SUP1159,49661.88,7053.017492551322,350266100.63874674
SUP1131,155507.27,14349.596333606854,2231466488.6617274
SUP1069,55692.617,10159.422342903552,565804819.3894619
SUP1100,48049.2,8448.95890414711,405965709.57639617
SUP1137,287045.38,22215.924167932862,6376978283.755852
SUP1089,142702.66,12894.09431617403,1840021508.8560615
SUP1167,266129.03,25516.19965344858,6790601494.953856
SUP1098,102115.07,7768.067086936666,793236716.7747546
SUP1105,142477.75,12205.742583123065,1739046740.3225622
SUP1010,102198.65,10521.351283537399,1075267880.913678
SUP1176,31345.35,13202.75371092738,413844930.87549186
SUP1058,71557.9,8597.479881016918,615217592.1442581
SUP1120,50225.266,8687.824755535432,436348306.05021775
SUP1198,105251.94,11285.944767364399,1187867553.2830899
SUP1002,45866.62,6220.388337432118,285308194.92898047
SUP1019,70986.98,8308.952566361515,589827421.0872291
SUP1194,126815.74,11685.974509806312,1481965530.645294
SUP1126,55963.984,7209.130870889327,403451687.4157804
SUP1085,71047.28,6946.836284044303,493553831.2702005
SUP1016,124310.664,9533.346310760662,1185096610.6284423
SUP1001,62918.098,7243.390736556548,455740365.7250415
SUP1020,94509.02,6000.364695247197,567088607.6166649
SUP1094,288248.62,24566.457791712084,7081247679.581545
SUP1124,114552.28,10065.850783790682,1153066170.0053232
SUP1000,76212.08,12925.979190567661,985115735.9136668
SUP1189,24547.174,9552.560741489435,234488369.0250638
SUP1147,42938.277,9019.138619090243,387266275.42822325
SUP1111,136419.23,12353.566720003158,1685264113.743311
SUP1132,42746.332,9756.350592802828,417048201.85323244
SUP1183,150382.34,9870.414409391044,1484336052.6679971
SUP1027,31187.396,9011.780791742041,281053980.5823339
SUP1043,32285.24,9706.170084111309,313366032.9212374
SUP1066,37940.37,10135.391400048331,384540510.89823604
SUP1035,33497.875,9183.822842536323,307638549.6014264
SUP1091,75737.25,6064.31567978487,459294592.7187866
SUP1187,164686.62,13367.62777308671,2201469502.205916
SUP1134,113564.49,8545.906265876823,970511505.3662758
SUP1070,23210.455,10195.167079956265,236634467.52330372
SUP1064,12258.128,13914.227913958084,170562385.81212702
SUP1155,3730.3228,11710.029540957474,43682189.64554802
SUP1053,21222.088,12360.238030917048,262310057.84116727
SUP1169,299123.25,26114.172100129686,7811356029.650117
SUP1173,129947.21,13541.04515087304,1759621050.5347104
SUP1149,50983.254,9427.53388259388,480646353.6460586
SUP1025,45795.55,10598.462507090724,485362427.94664747
SUP1140,44837.26,9956.2318313344,446410172.3540901
SUP1122,63740.64,6537.652415614032,416714153.15481716
SUP1136,63283.35,8332.20063959866,527289582.3650093
SUP1093,30365.361,13467.503583365797,408945612.4967206
SUP1118,57824.58,5887.670470342473,340452061.08657384
