Supplier_ID,Country,Sector,Renewable_Energy_%,Emissions_Scope1_tCO2e,Emissions_Scope2_tCO2e,Emissions_Scope3_tCO2e,Data_Confidence,Last_Audit_Year,High_Risk_Operations,Recycled_Materials_%,Emissions_Trend,Traceability_Score,Risk_Category
SUP00001,Vietnam,Displays,44,215,869,8667,0.94,2024,No,58,Increasing,0.95,Low
SUP00002,Mexico,Semiconductors,80,223,896,18673,0.61,2023,No,83,Stable,0.62,High
SUP00003,USA,Assembly,93,112,752,9064,0.6,2022,No,60,Decreasing,0.52,Medium
SUP00004,Vietnam,Assembly,38,101,727,13762,0.76,2021,No,94,Increasing,0.74,Medium
SUP00005,Vietnam,Displays,84,384,781,12969,0.95,2023,No,8,Stable,0.96,Medium
SUP00006,Germany,Batteries,2,941,1486,19199,0.62,2020,Yes,3,Increasing,0.55,High
SUP00007,China,Semiconductors,14,264,1693,14195,0.81,2021,Yes,1,Stable,0.84,Medium
SUP00008,USA,Semiconductors,70,262,1998,16011,0.77,2020,Yes,58,Stable,0.73,High
SUP00009,China,Assembly,77,131,474,13812,0.65,2022,No,21,Stable,0.53,Medium
SUP00010,USA,Batteries,53,620,1189,11300,1.0,2024,No,16,Decreasing,0.97,Medium
SUP00011,Germany,Displays,10,297,938,9789,0.92,2020,No,31,Stable,1.0,Medium
SUP00012,Thailand,Assembly,85,63,486,14079,0.98,2021,No,20,Stable,1.0,Medium
SUP00013,Mexico,Batteries,41,666,1014,18734,0.93,2020,No,16,Stable,0.87,High
SUP00014,India,Semiconductors,87,516,1457,16188,0.82,2023,No,57,Stable,0.9,High
SUP00015,Germany,Displays,39,315,640,9148,0.71,2023,No,36,Stable,0.68,Medium
SUP00016,Mexico,Textiles,1,621,505,5343,0.65,2022,No,49,Stable,0.65,Medium
SUP00017,USA,Assembly,74,66,752,14201,0.74,2020,No,22,Increasing,0.72,Medium
SUP00018,Vietnam,Textiles,97,875,1092,6887,0.84,2022,Yes,90,Stable,0.93,Low
SUP00019,Germany,Semiconductors,28,412,1572,16309,0.74,2020,Yes,71,Stable,0.76,High
SUP00020,Brazil,Semiconductors,82,247,1015,10151,0.83,2021,No,88,Stable,0.76,Medium
SUP00021,Mexico,Textiles,54,419,870,8520,0.99,2020,No,43,Stable,0.73,Low
SUP00022,Thailand,Semiconductors,81,480,1222,17518,0.89,2022,No,75,Stable,0.89,High
SUP00023,Vietnam,Batteries,66,962,1420,13085,0.64,2022,Yes,81,Decreasing,0.6,Medium
SUP00024,Vietnam,Packaging,35,30,222,4389,1.0,2022,No,45,Increasing,0.88,Low
SUP00025,Mexico,Batteries,98,959,1484,19993,0.71,2024,Yes,10,Stable,0.7,High
SUP00026,Brazil,Displays,95,461,595,10896,0.78,2022,No,5,Increasing,0.59,Medium
SUP00027,USA,Batteries,91,512,1504,17246,0.96,2021,Yes,24,Decreasing,0.81,High
SUP00028,Vietnam,Displays,46,401,920,13857,0.87,2024,No,54,Decreasing,0.79,Medium
SUP00029,USA,Semiconductors,93,315,1476,17638,0.98,2020,No,53,Increasing,1.0,High
SUP00030,Vietnam,Textiles,50,709,885,7500,0.84,2021,Yes,12,Increasing,0.99,Low
SUP00031,Vietnam,Assembly,63,86,737,13095,0.66,2024,No,69,Decreasing,0.54,Medium
SUP00032,Mexico,Packaging,42,42,377,2014,0.9,2022,No,84,Stable,0.92,Low
SUP00033,Brazil,Packaging,91,92,384,2637,0.84,2020,No,22,Stable,0.83,Low
SUP00034,Brazil,Assembly,80,133,435,6466,0.92,2021,No,63,Stable,0.79,Low
SUP00035,USA,Textiles,39,395,1095,8675,0.63,2021,No,75,Stable,0.58,Medium
SUP00036,Mexico,Displays,16,152,961,9950,0.86,2021,No,24,Stable,0.87,Medium
SUP00037,Vietnam,Displays,90,339,996,9673,0.61,2024,No,1,Stable,0.44,High
SUP00038,India,Batteries,54,792,1740,10669,0.78,2023,Yes,37,Increasing,0.81,Medium
SUP00039,USA,Batteries,54,971,1025,18222,0.76,2023,Yes,15,Increasing,0.77,High
SUP00040,Thailand,Assembly,87,79,577,14358,0.99,2021,No,22,Decreasing,0.99,Medium
SUP00041,Mexico,Packaging,7,38,339,5556,0.62,2023,No,15,Increasing,0.71,Low
SUP00042,USA,Displays,97,280,650,8465,0.76,2024,No,2,Stable,0.75,Low
SUP00043,Brazil,Displays,91,491,590,10860,0.64,2024,No,14,Stable,0.63,Medium
SUP00044,USA,Semiconductors,56,388,1289,10028,0.68,2022,No,10,Stable,0.62,Medium
SUP00045,Brazil,Semiconductors,83,520,1049,13819,0.64,2020,No,38,Stable,0.62,Medium
SUP00046,Mexico,Packaging,16,96,193,5676,0.85,2020,No,49,Increasing,0.94,Low
SUP00047,USA,Semiconductors,3,286,1532,14486,0.73,2020,Yes,98,Stable,0.59,Medium
SUP00048,Brazil,Batteries,36,727,1124,14382,0.75,2022,Yes,39,Increasing,0.84,Medium
SUP00049,Thailand,Assembly,49,94,578,12046,0.8,2022,No,78,Stable,0.89,Medium
SUP00050,Thailand,Packaging,45,87,121,3850,0.84,2022,No,2,Increasing,1.0,Low
SUP00051,Mexico,Assembly,5,116,797,7219,0.86,2023,No,41,Increasing,0.73,Low
SUP00052,USA,Assembly,97,71,489,8532,0.97,2023,No,75,Increasing,1.0,Low
SUP00053,Mexico,Displays,27,375,873,12485,0.84,2023,No,93,Increasing,0.92,Medium
SUP00054,Germany,Displays,95,161,958,13350,0.65,2021,No,14,Decreasing,0.73,Medium
SUP00055,Germany,Batteries,67,902,1518,11980,0.94,2022,Yes,97,Increasing,1.0,Medium
SUP00056,USA,Textiles,90,486,837,4463,0.93,2023,No,22,Stable,0.89,Low
SUP00057,Thailand,Assembly,45,117,762,11638,0.74,2020,No,21,Decreasing,0.62,Medium
SUP00058,China,Semiconductors,13,410,1541,19580,0.84,2023,Yes,64,Stable,0.75,High
SUP00059,India,Semiconductors,31,259,1636,17138,0.69,2021,Yes,43,Stable,0.6,High
SUP00060,India,Displays,19,208,689,14404,0.73,2021,No,40,Stable,0.67,Medium
SUP00061,Germany,Displays,54,231,910,15006,0.84,2021,No,76,Increasing,0.7,Medium
SUP00062,Vietnam,Batteries,26,501,1639,14247,0.85,2024,Yes,100,Stable,1.0,Medium
SUP00063,Germany,Packaging,83,69,382,3636,0.8,2023,No,63,Decreasing,0.73,Low
SUP00064,Thailand,Batteries,71,756,1687,19833,0.84,2023,Yes,22,Increasing,0.83,High
SUP00065,Mexico,Batteries,58,614,1340,10147,0.91,2024,No,4,Decreasing,0.99,Medium
SUP00066,China,Batteries,94,565,1677,13131,0.85,2023,Yes,67,Increasing,0.74,Medium
SUP00067,Vietnam,Displays,34,457,561,14911,0.84,2021,No,19,Increasing,0.96,Medium
SUP00068,Mexico,Displays,56,238,826,8387,0.92,2021,No,19,Stable,0.95,Low
SUP00069,Brazil,Displays,5,276,533,13068,0.97,2020,No,2,Increasing,0.96,Medium
SUP00070,Mexico,Semiconductors,66,568,1359,18364,0.84,2022,No,76,Stable,0.79,High
SUP00071,India,Packaging,85,75,281,5976,0.74,2020,No,36,Stable,0.73,Low
SUP00072,China,Packaging,11,52,222,3169,0.6,2023,No,82,Decreasing,0.5,Medium
SUP00073,Mexico,Displays,33,409,526,12551,0.98,2021,No,54,Stable,0.85,Medium
SUP00074,India,Batteries,65,668,1778,12503,0.64,2020,Yes,5,Decreasing,0.42,High
SUP00075,Vietnam,Batteries,50,513,1743,13662,0.95,2024,Yes,86,Decreasing,0.8,Medium
