Supplier_ID,Country,Sector,Year,Renewable_Energy_%,Emissions_Scope1_tCO2e,Emissions_Scope2_tCO2e,Emissions_Scope3_tCO2e,Data_Confidence,Recycled_Materials_%,Traceability_Score
SUP00001,USA,Textiles,2020,65,630,805,6875,0.83,25,0.87
SUP00001,USA,Textiles,2021,69,557,898,6616,0.88,29,0.92
SUP00001,USA,Textiles,2022,71,603,862,6828,0.83,29,0.87
SUP00001,USA,Textiles,2023,64,604,932,7025,0.87,36,0.92
SUP00001,USA,Textiles,2024,71,665,1089,7792,0.82,22,0.86
SUP00002,Germany,Packaging,2020,47,-33,187,4535,0.7,24,0.67
SUP00002,Germany,Packaging,2021,50,-23,322,4011,0.75,34,0.83
SUP00002,Germany,Packaging,2022,54,115,172,4757,0.59,32,0.65
SUP00002,Germany,Packaging,2023,48,30,225,4152,0.7,36,0.72
SUP00002,Germany,Packaging,2024,51,144,163,4742,0.74,36,0.79
SUP00003,USA,Batteries,2020,49,746,1335,14659,0.74,28,0.72
SUP00003,USA,Batteries,2021,47,699,1287,15451,0.66,15,0.72
SUP00003,USA,Batteries,2022,46,701,1367,15022,0.72,30,0.74
SUP00003,USA,Batteries,2023,49,765,1478,14389,0.7,18,0.73
SUP00003,USA,Batteries,2024,45,736,1329,14681,0.63,26,0.67
SUP00004,India,Textiles,2020,31,580,879,7114,0.89,53,0.93
SUP00004,India,Textiles,2021,26,564,812,7029,0.8,51,0.84
SUP00004,India,Textiles,2022,28,660,728,6592,0.93,52,0.88
SUP00004,India,Textiles,2023,24,550,884,7007,1.0,44,0.91
SUP00004,India,Textiles,2024,26,581,854,7115,0.83,40,0.84
SUP00005,Germany,Packaging,2020,3,46,314,4190,0.52,53,0.53
SUP00005,Germany,Packaging,2021,4,30,307,3892,0.41,48,0.46
SUP00005,Germany,Packaging,2022,4,92,148,3993,0.46,53,0.5
SUP00005,Germany,Packaging,2023,5,54,353,4139,0.46,58,0.45
SUP00005,Germany,Packaging,2024,6,112,200,3820,0.58,56,0.54
SUP00006,Germany,Assembly,2020,69,67,623,10465,0.82,31,0.79
SUP00006,Germany,Assembly,2021,69,56,554,10547,0.68,23,0.72
SUP00006,Germany,Assembly,2022,72,57,603,9816,0.68,22,0.78
SUP00006,Germany,Assembly,2023,77,85,595,10781,0.86,19,0.83
SUP00006,Germany,Assembly,2024,72,45,430,10220,0.86,29,0.85
SUP00007,Thailand,Batteries,2020,32,767,1481,15125,0.58,15,0.64
SUP00007,Thailand,Batteries,2021,34,747,1366,14698,0.62,19,0.65
SUP00007,Thailand,Batteries,2022,25,728,1406,15308,0.7,15,0.66
SUP00007,Thailand,Batteries,2023,33,766,1422,14201,0.79,19,0.74
SUP00007,Thailand,Batteries,2024,25,649,1660,14794,0.69,7,0.65
SUP00008,USA,Semiconductors,2020,15,422,1376,15039,0.87,22,0.85
SUP00008,USA,Semiconductors,2021,21,325,1635,15330,0.86,20,0.83
SUP00008,USA,Semiconductors,2022,17,482,1349,15343,0.83,15,0.92
SUP00008,USA,Semiconductors,2023,22,416,1345,15148,0.9,32,0.94
SUP00008,USA,Semiconductors,2024,19,478,1290,14397,0.83,20,0.85
SUP00009,Germany,Batteries,2020,19,724,1381,14925,0.53,65,0.57
SUP00009,Germany,Batteries,2021,12,715,1543,14860,0.5,54,0.47
SUP00009,Germany,Batteries,2022,12,817,1439,14993,0.66,56,0.63
SUP00009,Germany,Batteries,2023,10,839,1382,14949,0.46,62,0.51
SUP00009,Germany,Batteries,2024,18,748,1460,14839,0.58,60,0.59
SUP00010,Vietnam,Batteries,2020,72,816,1374,15315,0.45,33,0.43
SUP00010,Vietnam,Batteries,2021,65,754,1416,15197,0.53,33,0.53
SUP00010,Vietnam,Batteries,2022,67,746,1273,15368,0.31,34,0.38
SUP00010,Vietnam,Batteries,2023,71,738,1505,15412,0.45,40,0.53
SUP00010,Vietnam,Batteries,2024,68,720,1531,15390,0.46,32,0.41
SUP00011,Thailand,Packaging,2020,3,57,310,3885,0.49,65,0.44
SUP00011,Thailand,Packaging,2021,7,141,248,3897,0.56,52,0.48
SUP00011,Thailand,Packaging,2022,1,101,285,3923,0.4,59,0.45
SUP00011,Thailand,Packaging,2023,6,29,13,4377,0.45,58,0.46
SUP00011,Thailand,Packaging,2024,2,27,83,4403,0.48,58,0.48
SUP00012,Vietnam,Batteries,2020,80,751,1439,14633,0.87,19,0.77
SUP00012,Vietnam,Batteries,2021,75,700,1437,14812,0.76,15,0.66
SUP00012,Vietnam,Batteries,2022,75,789,1277,15078,0.61,10,0.76
SUP00012,Vietnam,Batteries,2023,76,790,1360,16051,0.71,12,0.73
SUP00012,Vietnam,Batteries,2024,78,719,1284,15454,0.72,1,0.71
SUP00013,China,Textiles,2020,47,671,906,7310,0.78,48,0.76
SUP00013,China,Textiles,2021,45,627,865,7061,0.77,43,0.79
SUP00013,China,Textiles,2022,54,587,798,6768,0.7,38,0.76
SUP00013,China,Textiles,2023,50,721,881,7101,0.83,50,0.81
SUP00013,China,Textiles,2024,54,585,789,7075,0.58,57,0.68
SUP00014,Germany,Textiles,2020,4,539,912,7068,0.7,55,0.73
SUP00014,Germany,Textiles,2021,5,672,769,6797,0.73,56,0.79
SUP00014,Germany,Textiles,2022,2,559,1024,6966,0.9,52,0.85
SUP00014,Germany,Textiles,2023,4,608,734,6880,0.74,46,0.74
SUP00014,Germany,Textiles,2024,7,575,970,6564,0.77,62,0.78
SUP00015,Brazil,Assembly,2020,14,87,463,10214,0.61,32,0.61
SUP00015,Brazil,Assembly,2021,15,155,445,10643,0.65,31,0.65
SUP00015,Brazil,Assembly,2022,15,147,290,10949,0.62,34,0.66
SUP00015,Brazil,Assembly,2023,11,214,525,10644,0.69,45,0.66
SUP00015,Brazil,Assembly,2024,11,152,470,11076,0.56,45,0.59
SUP00016,Vietnam,Packaging,2020,22,75,239,3373,0.88,4,0.81
SUP00016,Vietnam,Packaging,2021,28,83,218,3946,0.84,3,0.86
SUP00016,Vietnam,Packaging,2022,24,27,289,4265,0.8,7,0.79
SUP00016,Vietnam,Packaging,2023,25,69,194,3599,0.87,10,0.85
SUP00016,Vietnam,Packaging,2024,24,41,432,4598,0.81,1,0.77
SUP00017,Thailand,Batteries,2020,14,778,1542,14940,0.5,20,0.51
SUP00017,Thailand,Batteries,2021,9,749,1331,15487,0.52,31,0.54
SUP00017,Thailand,Batteries,2022,9,690,1537,15464,0.46,24,0.43
SUP00017,Thailand,Batteries,2023,13,758,1363,14315,0.54,18,0.59
SUP00017,Thailand,Batteries,2024,13,710,1319,14751,0.61,27,0.58
SUP00018,China,Packaging,2020,52,72,207,3751,0.83,19,0.87
SUP00018,China,Packaging,2021,52,43,108,4235,0.9,37,0.9
SUP00018,China,Packaging,2022,44,30,191,3511,0.88,38,0.85
SUP00018,China,Packaging,2023,50,81,348,4127,0.87,20,0.8
SUP00018,China,Packaging,2024,51,117,202,4045,0.71,23,0.77
SUP00019,USA,Displays,2020,17,299,905,12003,0.73,17,0.73
SUP00019,USA,Displays,2021,16,282,683,11693,0.8,29,0.7
SUP00019,USA,Displays,2022,22,304,764,12366,0.73,31,0.73
SUP00019,USA,Displays,2023,22,308,783,12006,0.65,16,0.65
SUP00019,USA,Displays,2024,18,321,806,11936,0.72,24,0.71
SUP00020,China,Assembly,2020,51,72,525,10318,0.63,1,0.62
SUP00020,China,Assembly,2021,44,167,664,10364,0.66,2,0.63
SUP00020,China,Assembly,2022,45,31,537,10619,0.72,14,0.67
SUP00020,China,Assembly,2023,46,92,577,10362,0.59,1,0.65
SUP00020,China,Assembly,2024,51,131,569,10397,0.68,0,0.64
SUP00021,India,Semiconductors,2020,40,397,1458,14718,0.77,46,0.77
SUP00021,India,Semiconductors,2021,46,415,1511,14688,0.88,38,0.84
SUP00021,India,Semiconductors,2022,40,434,1592,14988,0.8,41,0.86
SUP00021,India,Semiconductors,2023,42,432,1436,14948,0.84,51,0.78
SUP00021,India,Semiconductors,2024,44,366,1360,14741,0.8,47,0.84
SUP00022,Brazil,Packaging,2020,13,131,184,3967,0.68,30,0.71
SUP00022,Brazil,Packaging,2021,10,96,209,3825,0.83,40,0.78
SUP00022,Brazil,Packaging,2022,13,93,360,4097,0.85,30,0.7
SUP00022,Brazil,Packaging,2023,7,90,218,4202,0.62,32,0.66
SUP00022,Brazil,Packaging,2024,9,34,189,3761,0.68,38,0.71
SUP00023,India,Packaging,2020,64,24,93,3778,0.8,45,0.82
SUP00023,India,Packaging,2021,57,83,219,4326,0.82,55,0.8
SUP00023,India,Packaging,2022,65,-9,249,4085,0.81,58,0.82
SUP00023,India,Packaging,2023,64,85,235,4035,0.79,61,0.79
SUP00023,India,Packaging,2024,63,-12,234,3751,0.83,57,0.83
SUP00024,China,Packaging,2020,76,57,131,4173,0.86,48,0.83
SUP00024,China,Packaging,2021,75,87,202,4011,0.85,49,0.77
SUP00024,China,Packaging,2022,79,63,286,4026,0.65,60,0.71
SUP00024,China,Packaging,2023,77,52,261,3904,0.84,46,0.79
SUP00024,China,Packaging,2024,71,90,194,4770,0.69,45,0.76
SUP00025,Vietnam,Textiles,2020,81,677,856,6897,0.82,41,0.81
SUP00025,Vietnam,Textiles,2021,79,623,797,7661,0.95,46,0.9
SUP00025,Vietnam,Textiles,2022,82,562,642,6983,0.9,46,0.89
SUP00025,Vietnam,Textiles,2023,77,544,858,7057,0.76,33,0.84
SUP00025,Vietnam,Textiles,2024,75,660,851,6977,0.85,30,0.86
SUP00026,China,Batteries,2020,9,676,1386,15245,0.48,0,0.45
SUP00026,China,Batteries,2021,13,763,1270,14689,0.39,7,0.37
SUP00026,China,Batteries,2022,7,784,1401,14916,0.36,0,0.45
SUP00026,China,Batteries,2023,12,704,1479,15033,0.48,7,0.44
SUP00026,China,Batteries,2024,14,891,1359,15370,0.44,0,0.48
SUP00027,Brazil,Batteries,2020,72,763,1455,14985,0.63,15,0.68
SUP00027,Brazil,Batteries,2021,78,801,1338,15608,0.72,15,0.7
SUP00027,Brazil,Batteries,2022,71,787,1394,14891,0.68,10,0.69
SUP00027,Brazil,Batteries,2023,77,822,1312,15148,0.67,10,0.75
SUP00027,Brazil,Batteries,2024,71,728,1351,14771,0.79,21,0.74
SUP00028,Vietnam,Assembly,2020,26,110,336,10535,0.72,51,0.74
SUP00028,Vietnam,Assembly,2021,30,111,507,10735,0.82,46,0.87
SUP00028,Vietnam,Assembly,2022,30,120,485,10503,0.81,50,0.8
SUP00028,Vietnam,Assembly,2023,30,162,592,10791,0.86,44,0.9
SUP00028,Vietnam,Assembly,2024,28,2,502,10532,0.84,50,0.82
SUP00029,Brazil,Packaging,2020,72,50,180,3761,0.42,40,0.43
SUP00029,Brazil,Packaging,2021,65,73,450,4434,0.33,40,0.37
SUP00029,Brazil,Packaging,2022,71,63,256,3899,0.36,42,0.38
SUP00029,Brazil,Packaging,2023,69,67,179,4395,0.54,55,0.54
SUP00029,Brazil,Packaging,2024,67,23,275,4090,0.42,36,0.4
SUP00030,Brazil,Textiles,2020,68,641,969,6835,0.66,19,0.66
SUP00030,Brazil,Textiles,2021,65,568,727,6583,0.72,10,0.68
SUP00030,Brazil,Textiles,2022,65,693,713,6990,0.7,8,0.62
SUP00030,Brazil,Textiles,2023,61,608,816,6893,0.54,6,0.61
SUP00030,Brazil,Textiles,2024,61,605,848,6677,0.71,23,0.67
SUP00031,Thailand,Semiconductors,2020,74,445,1326,15129,0.85,38,0.8
