Supplier_ID,Country,Product_Type,Units_Produced,Material_Type,Reported_Emissions_kgCO2e,Emission_Factor,Source,Data_Confidence,ThirdParty_Estimate,Report_Month,Green_Certified,Prior_Violations,Audit_Score
SUP1000,India,Camera,77820,Plastic,97467.9,0.97,Internal,Medium,79199.2,2024-02,0,0,98
SUP1001,Germany,Frame,85478,Plastic,59595.3,0.64,Hybrid,Low,48815.6,2024-01,0,0,70
SUP1002,China,Screen,11627,Aluminium,42439.8,3.4,Hybrid,Medium,39321.8,2022-12,0,0,63
SUP1003,China,Chipset,68121,Lithium,130142.0,1.44,3rdParty,High,113789.3,2023-06,1,1,85
SUP1004,India,Battery,90789,Silicon,150162.6,1.67,Internal,High,119352.8,2023-03,0,0,58
SUP1005,China,Chipset,3695,Glass,4224.0,1.1,Hybrid,High,4209.0,2022-07,0,1,58
SUP1006,India,Screen,53256,Silicon,162122.5,2.69,3rdParty,Low,122999.9,2022-05,0,0,88
SUP1007,Germany,Battery,1206,Plastic,546.4,0.58,3rdParty,High,838.9,2022-07,0,0,85
SUP1008,Vietnam,Frame,94426,Lithium,382916.6,3.29,3rdParty,Low,343016.0,2024-02,0,0,82
SUP1009,China,Battery,67842,Aluminium,124212.8,2.95,Internal,Medium,220693.3,2022-10,0,1,81
SUP1010,China,Chipset,55384,Aluminium,63549.3,1.26,Internal,High,64041.9,2022-02,0,0,86
SUP1011,China,Battery,47717,Plastic,135030.4,2.09,Hybrid,Medium,63827.5,2022-11,0,0,87
SUP1012,Vietnam,Chipset,66733,Glass,198819.5,2.95,Hybrid,Medium,260913.8,2022-04,0,0,68
SUP1013,India,Chipset,9680,Aluminium,19581.2,1.69,Hybrid,Medium,16708.2,2024-01,0,0,91
SUP1014,Germany,Chipset,97601,Aluminium,216487.7,2.05,Internal,Medium,195421.9,2023-04,1,1,82
SUP1015,India,Frame,33711,Lithium,114651.6,3.2,Internal,High,94133.1,2023-02,0,0,65
SUP1016,Vietnam,Battery,95179,Aluminium,45213.6,0.55,Hybrid,Medium,57577.8,2022-01,0,0,71
SUP1017,Vietnam,Frame,77213,Glass,153892.1,1.8,Hybrid,Medium,94172.1,2022-05,0,0,53
SUP1018,Germany,Battery,74744,Lithium,272285.0,3.32,Internal,High,222892.8,2022-01,0,0,74
SUP1019,USA,Screen,52885,Plastic,155181.1,2.35,Internal,Low,135312.7,2022-09,1,0,78
SUP1020,USA,Screen,51993,Aluminium,114739.7,2.33,3rdParty,Low,103277.9,2023-11,0,0,81
SUP1021,Germany,Battery,53921,Silicon,142262.0,3.02,3rdParty,Low,169717.4,2023-10,0,0,57
SUP1022,Vietnam,Chipset,4051,Lithium,15183.5,2.37,Internal,Low,15138.0,2022-10,0,0,68
SUP1023,India,Screen,26945,Silicon,30013.3,1.05,Internal,High,25774.9,2024-02,0,0,97
SUP1024,China,Camera,4343,Silicon,16476.8,2.71,Hybrid,Medium,9931.8,2024-01,0,0,96
SUP1025,China,Chipset,30124,Lithium,17419.2,0.55,Internal,Medium,17657.5,2022-05,0,0,54
SUP1026,India,Screen,41158,Plastic,109517.8,2.38,Hybrid,Low,87884.4,2023-08,0,0,82
SUP1027,China,Camera,94610,Silicon,253295.8,2.38,Hybrid,High,285549.5,2023-01,0,0,99
SUP1028,Germany,Battery,95297,Silicon,256343.8,3.03,Internal,High,322340.5,2024-01,1,0,59
SUP1029,Vietnam,Battery,36735,Glass,106839.9,3.47,Hybrid,Medium,110348.9,2023-11,1,1,98
SUP1030,Vietnam,Battery,69450,Aluminium,162966.6,1.63,Hybrid,Medium,75673.8,2022-12,1,0,58
SUP1031,India,Chipset,55098,Plastic,88541.1,2.4,Internal,Medium,110271.2,2023-09,1,0,88
SUP1032,Vietnam,Camera,22545,Plastic,15121.2,0.67,3rdParty,Low,11209.5,2022-09,1,0,87
SUP1033,Vietnam,Screen,63856,Plastic,220843.9,3.18,3rdParty,Low,167779.7,2023-04,1,1,66
SUP1034,China,Camera,92267,Lithium,147962.3,1.63,3rdParty,High,112517.4,2022-08,0,0,50
SUP1035,Germany,Camera,81219,Aluminium,145129.4,1.62,3rdParty,Medium,120961.5,2024-02,0,1,96
SUP1036,Vietnam,Camera,62642,Lithium,47623.5,0.72,3rdParty,High,68739.1,2022-01,0,0,65
SUP1037,China,Frame,79859,Plastic,273762.9,3.35,Internal,High,332755.3,2022-04,0,0,99
SUP1038,India,Chipset,5835,Glass,12886.6,2.59,Internal,High,13618.7,2022-03,1,1,54
SUP1039,China,Screen,66545,Plastic,149664.7,2.15,3rdParty,Low,120235.0,2023-03,0,0,74
SUP1040,Germany,Frame,87704,Silicon,80534.0,0.69,Hybrid,Medium,66588.0,2022-05,1,0,70
SUP1041,China,Battery,46106,Silicon,120671.8,2.32,3rdParty,Medium,84508.6,2022-08,0,0,52
SUP1042,Germany,Screen,38131,Aluminium,93080.7,2.16,Hybrid,Medium,72284.3,2022-05,0,0,88
SUP1043,India,Screen,7949,Plastic,14442.2,2.27,Hybrid,Medium,10397.4,2024-01,0,0,79
SUP1044,USA,Frame,44088,Silicon,139772.1,2.89,3rdParty,Medium,146517.3,2022-11,0,0,96
SUP1045,China,Frame,12637,Lithium,14046.1,1.05,Hybrid,Medium,11895.9,2023-06,0,0,70
SUP1046,Vietnam,Screen,37668,Silicon,68501.8,2.15,3rdParty,Medium,48106.7,2024-01,0,0,92
SUP1047,Vietnam,Battery,96257,Lithium,221012.1,2.92,Hybrid,Medium,277253.5,2023-12,0,0,72
SUP1048,USA,Camera,5621,Glass,7840.5,1.26,Internal,Low,12103.5,2022-06,0,0,74
SUP1049,Vietnam,Chipset,91825,Aluminium,311839.9,3.02,Internal,Low,254395.3,2023-08,0,0,90
SUP1050,Vietnam,Screen,27734,Lithium,72882.8,2.11,Internal,Medium,53443.2,2023-08,0,0,94
SUP1051,Vietnam,Battery,59656,Silicon,44144.3,0.81,3rdParty,High,41467.0,2023-12,1,0,80
SUP1052,Vietnam,Chipset,10111,Plastic,24053.1,2.23,3rdParty,Medium,26203.6,2022-08,0,0,54
SUP1053,USA,Chipset,92922,Lithium,184696.2,2.02,3rdParty,Medium,186173.7,2022-06,0,0,85
SUP1054,Vietnam,Frame,48362,Aluminium,66546.2,1.61,3rdParty,High,67645.3,2022-05,0,0,64
SUP1055,Germany,Battery,84524,Lithium,310348.2,3.4,Internal,High,258469.6,2022-03,0,0,71
SUP1056,India,Camera,9007,Glass,23154.4,2.89,Hybrid,Medium,26714.4,2022-04,0,0,67
SUP1057,Germany,Camera,73101,Aluminium,146385.4,2.74,Internal,Medium,192480.6,2022-02,0,1,88
SUP1058,Germany,Frame,97646,Glass,141994.1,1.5,Hybrid,Medium,170591.0,2022-06,1,0,76
SUP1059,China,Chipset,20029,Plastic,64995.3,2.79,3rdParty,Medium,79940.5,2023-03,1,0,64
SUP1060,Vietnam,Camera,15382,Lithium,53719.0,2.67,Hybrid,Medium,48332.7,2023-08,0,1,87
SUP1061,USA,Frame,3443,Plastic,12631.9,2.26,Hybrid,Medium,9480.4,2022-11,1,0,53
SUP1062,Vietnam,Camera,1126,Plastic,2883.2,2.81,3rdParty,Low,2769.5,2023-10,1,0,89
SUP1063,Vietnam,Battery,76060,Aluminium,86969.0,1.12,Hybrid,Medium,102593.9,2024-01,1,1,56
SUP1064,USA,Frame,58761,Glass,82455.0,1.86,Hybrid,High,101226.0,2023-09,1,0,92
SUP1065,USA,Chipset,17241,Silicon,34189.1,2.05,3rdParty,Low,37333.0,2022-08,0,0,62
SUP1066,Germany,Frame,34719,Glass,60282.8,1.55,Hybrid,High,80285.0,2023-02,1,0,77
SUP1067,China,Screen,12485,Glass,12138.3,0.97,Hybrid,Medium,11039.7,2022-10,0,0,82
SUP1068,India,Screen,86382,Silicon,130836.5,1.72,3rdParty,Medium,125106.6,2022-05,0,0,96
SUP1069,USA,Frame,35911,Glass,78004.9,3.39,3rdParty,High,85730.4,2022-07,1,0,97
SUP1070,Vietnam,Frame,14859,Silicon,20100.5,1.76,Internal,Medium,28932.6,2022-09,0,0,71
SUP1071,India,Battery,49285,Glass,122741.8,3.18,Hybrid,Medium,164045.9,2022-09,0,0,88
SUP1072,China,Frame,52693,Lithium,53395.7,0.9,Internal,Low,58113.8,2022-09,0,0,74
SUP1073,USA,Chipset,2622,Silicon,1520.9,0.53,Internal,Medium,1752.5,2022-07,0,0,70
SUP1074,India,Screen,37397,Plastic,37170.6,1.0,Internal,Low,25740.7,2022-11,0,0,88
SUP1075,Germany,Screen,54302,Silicon,117045.5,1.95,Hybrid,Medium,73509.4,2022-11,1,1,92
SUP1076,USA,Battery,33921,Plastic,26893.2,0.82,3rdParty,Medium,39500.2,2022-03,1,0,93
SUP1077,Germany,Screen,24051,Glass,37901.6,1.44,Internal,High,41433.6,2023-04,1,0,70
SUP1078,China,Camera,68957,Aluminium,290122.9,3.21,3rdParty,Medium,258627.5,2023-05,0,0,56
SUP1079,Vietnam,Battery,12122,Plastic,22668.5,1.77,Hybrid,Medium,23902.5,2022-10,0,0,73
SUP1080,Germany,Chipset,97443,Silicon,75931.9,0.73,Hybrid,Low,60391.4,2022-04,1,0,67
SUP1081,China,Camera,80273,Lithium,108075.0,1.2,Hybrid,High,98545.9,2023-02,0,0,78
SUP1082,Vietnam,Chipset,13984,Lithium,56144.7,3.45,3rdParty,High,60657.7,2023-01,0,0,53
SUP1083,USA,Camera,41600,Aluminium,109130.1,3.23,Hybrid,Low,120335.4,2022-05,0,0,95
SUP1084,Germany,Camera,81097,Aluminium,196519.9,2.73,Hybrid,Medium,197313.0,2022-10,0,0,90
SUP1085,China,Screen,56554,Silicon,37905.4,0.67,3rdParty,Medium,30729.6,2023-05,0,0,87
SUP1086,Vietnam,Camera,76758,Aluminium,164265.9,2.28,Internal,Low,148682.3,2024-01,1,0,64
SUP1087,China,Camera,59762,Glass,81762.8,1.34,3rdParty,High,86487.4,2023-04,0,0,66
SUP1088,USA,Camera,3396,Glass,9482.4,2.97,3rdParty,Medium,7676.6,2023-04,0,1,97
SUP1089,China,Camera,34130,Silicon,106476.5,2.59,3rdParty,High,120817.3,2022-05,1,1,80
SUP1090,USA,Screen,3719,Glass,5382.7,1.19,Internal,Medium,4318.5,2023-05,0,0,83
SUP1091,India,Camera,2007,Glass,5658.9,2.78,Hybrid,Medium,5286.5,2023-03,1,0,53
SUP1092,India,Chipset,8491,Glass,10467.2,1.0,Hybrid,Low,7859.7,2023-02,1,1,85
SUP1093,Germany,Frame,22427,Silicon,43133.4,1.65,Hybrid,Medium,33482.8,2024-02,0,0,53
SUP1094,China,Frame,7540,Aluminium,9126.0,0.99,Hybrid,Low,9732.3,2022-12,0,0,96
SUP1095,Vietnam,Frame,54331,Glass,80561.1,1.32,3rdParty,High,85063.5,2022-03,0,0,61
SUP1096,USA,Chipset,19639,Glass,66206.9,3.4,3rdParty,Medium,78279.3,2022-07,0,0,73
SUP1097,India,Screen,53098,Lithium,139101.6,2.89,Internal,Medium,162903.1,2023-08,0,0,71
SUP1098,Vietnam,Camera,55615,Glass,156091.2,3.45,Hybrid,Medium,154058.8,2022-11,0,1,87
SUP1099,China,Frame,33981,Glass,31963.0,0.81,3rdParty,High,24571.3,2022-01,0,0,82
SUP1100,USA,Battery,28424,Aluminium,37972.7,1.55,3rdParty,Low,53898.0,2022-10,0,0,60
SUP1101,Vietnam,Frame,50786,Aluminium,180474.3,3.31,3rdParty,Low,155730.3,2022-08,1,0,96
SUP1102,Germany,Frame,47163,Lithium,130947.1,2.29,Hybrid,Medium,142958.3,2024-01,1,0,95
SUP1103,India,Camera,84847,Silicon,231453.6,2.87,3rdParty,High,331833.0,2023-07,0,1,90
SUP1104,Germany,Frame,61315,Plastic,79234.9,1.71,Internal,Low,110221.7,2024-02,1,0,53
SUP1105,India,Chipset,40443,Lithium,24830.5,0.62,3rdParty,Medium,29052.4,2022-04,1,1,55
SUP1106,USA,Frame,18778,Plastic,52030.6,3.24,Hybrid,Medium,81728.5,2022-04,1,0,93
SUP1107,USA,Camera,65324,Silicon,123602.0,1.81,3rdParty,Medium,105824.7,2024-01,0,0,66
SUP1108,Germany,Battery,93152,Lithium,120919.0,1.27,Internal,High,93353.2,2022-11,1,0,65
SUP1109,USA,Camera,77619,Aluminium,157744.9,1.79,Internal,High,103731.7,2023-10,0,0,86
SUP1110,Vietnam,Chipset,93324,Aluminium,350111.3,3.03,Internal,High,275251.1,2023-02,0,0,69
SUP1111,USA,Camera,81896,Glass,153604.8,1.86,Internal,Medium,172289.9,2022-12,0,1,73
SUP1112,Germany,Frame,66661,Plastic,104576.6,1.47,Hybrid,Medium,101576.4,2023-08,0,0,65
SUP1113,USA,Screen,83811,Plastic,66590.6,1.07,3rdParty,Low,81888.8,2023-10,0,0,75
SUP1114,Germany,Screen,56409,Plastic,156538.5,2.35,Hybrid,Low,165126.3,2023-02,0,0,75
SUP1115,India,Screen,18087,Aluminium,60260.6,3.1,Hybrid,Low,56356.5,2022-06,0,0,55
SUP1116,USA,Screen,97652,Aluminium,156565.7,1.45,Internal,Medium,163925.3,2022-12,0,0,68
SUP1117,India,Camera,84360,Aluminium,149322.5,2.14,Hybrid,Medium,155347.4,2023-02,0,0,58
SUP1118,Germany,Camera,94977,Plastic,119494.9,1.94,Hybrid,Medium,191098.3,2023-11,1,0,92
SUP1119,Vietnam,Camera,34174,Glass,24622.6,0.52,Internal,Medium,23349.2,2023-07,0,1,71
SUP1120,Germany,Screen,47413,Silicon,139853.1,2.35,3rdParty,Medium,135804.5,2023-06,0,1,75
SUP1121,China,Frame,45139,Plastic,128686.9,2.9,Internal,Medium,115728.7,2022-10,1,0,56
SUP1122,China,Chipset,72031,Silicon,189249.3,2.4,Internal,Medium,176698.6,2023-03,0,0,91
SUP1123,China,Screen,35084,Lithium,44441.6,1.32,3rdParty,Low,58102.6,2023-07,0,0,99
SUP1124,Vietnam,Battery,18633,Aluminium,29908.9,1.15,3rdParty,Medium,16658.7,2024-01,0,1,84
SUP1125,Vietnam,Screen,95018,Plastic,199094.5,1.78,Hybrid,Medium,212006.5,2023-02,0,0,91
SUP1126,Vietnam,Chipset,74379,Glass,88422.0,1.7,3rdParty,Medium,86131.9,2022-12,0,0,87
SUP1127,USA,Frame,46113,Glass,58320.5,1.07,3rdParty,Medium,53301.5,2022-02,0,0,71
SUP1128,India,Screen,61963,Silicon,62927.7,1.03,Internal,Low,46977.2,2022-12,0,0,69
SUP1129,Germany,Camera,73982,Lithium,226252.8,3.42,3rdParty,Medium,295341.8,2022-06,0,0,81
SUP1130,China,Camera,77559,Lithium,171035.9,2.85,Hybrid,High,169576.2,2022-01,0,0,72
SUP1131,USA,Chipset,65977,Glass,230869.4,2.86,3rdParty,Medium,253921.1,2023-05,0,0,84
SUP1132,USA,Frame,95031,Lithium,247132.5,2.96,3rdParty,Low,273779.6,2024-01,0,0,80
SUP1133,China,Camera,12138,Glass,20549.3,1.7,Internal,High,17443.6,2024-01,0,0,61
SUP1134,India,Camera,75270,Lithium,124109.6,1.82,Hybrid,High,156089.7,2023-07,0,0,74
